NODO;VENDOR;VRF;INTERFACE;ESTADO
AVE;CISCO;ACCESO;Bundle-Ether5.3000;Up
AVE;CISCO;ACCESO;Bundle-Ether6.3000;Up
AVE;CISCO;ACCESO;Bundle-Ether7.3000;Up
AVE;CISCO;ACCESO;Bundle-Ether5.00;Up
AVE;CISCO;ACCESO;Bundle-Ether6.00;Up
AVE;CISCO;ACCESO;Bundle-Ether7.00;Up
AVE;CISCO;ACCESO;Bundle-Ether5.002;Up
AVE;CISCO;ACCESO;Bundle-Ether6.002;Up
AVE;CISCO;ACCESO;Bundle-Ether7.002;Up
AVE;CISCO;ACCESO;Bundle-Ether5.003;Up
AVE;CISCO;ACCESO;Bundle-Ether6.003;Up
AVE;CISCO;ACCESO;Bundle-Ether7.003;Up
AVE;CISCO;ACCESO;Bundle-Ether5.004;Up
AVE;CISCO;ACCESO;Bundle-Ether6.004;Up
AVE;CISCO;ACCESO;Bundle-Ether7.004;Up
BRA;CISCO;ACCESO;GigabitEthernet0/7/0/7.3000;Up
BRA;CISCO;ACCESO;GigabitEthernet0/7/0/7.00;Up
BRA;CISCO;ACCESO;GigabitEthernet0/7/0/7.002;Up
BRA;CISCO;ACCESO;GigabitEthernet0/7/0/7.003;Up
BRA;CISCO;ACCESO;GigabitEthernet0/7/0/7.004;Up
CAL;CISCO;ACCESO;Bundle-Ether3.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether4.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether5.3000;Shutdown
CAL;CISCO;ACCESO;Bundle-Ether20.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether2.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether22.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether23.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether27.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether28.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether29.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether30.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether3.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether32.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether35.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether36.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether37.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether38.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether39.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether40.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/6.3000;Shutdown
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.005;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.05;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.020;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.025;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.030;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.035;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.040;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/36.3000;Shutdown
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/38.3000;Shutdown
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/39.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/8.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/9.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/0.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/7.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/9.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/22.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/29.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/3.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/32.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/35.3000;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/36.3000;Up
CAL;CISCO;ACCESO;TenGigE0/2/0/0.3000;Up
CAL;CISCO;ACCESO;TenGigE0/2/0.3000;Up
CAL;CISCO;ACCESO;TenGigE0/2/0/2.3000;Up
CAL;CISCO;ACCESO;TenGigE0/2/0/3.3000;Up
CAL;CISCO;ACCESO;TenGigE0/2/0/5.3000;Up
CAL;CISCO;ACCESO;TenGigE0/2//0.3000;Up
CAL;CISCO;ACCESO;Bundle-Ether3.00;Up
CAL;CISCO;ACCESO;Bundle-Ether4.00;Up
CAL;CISCO;ACCESO;Bundle-Ether5.00;Shutdown
CAL;CISCO;ACCESO;Bundle-Ether20.00;Up
CAL;CISCO;ACCESO;Bundle-Ether2.00;Up
CAL;CISCO;ACCESO;Bundle-Ether22.00;Up
CAL;CISCO;ACCESO;Bundle-Ether23.00;Up
CAL;CISCO;ACCESO;Bundle-Ether27.00;Up
CAL;CISCO;ACCESO;Bundle-Ether28.00;Up
CAL;CISCO;ACCESO;Bundle-Ether29.00;Up
CAL;CISCO;ACCESO;Bundle-Ether30.00;Up
CAL;CISCO;ACCESO;Bundle-Ether3.00;Up
CAL;CISCO;ACCESO;Bundle-Ether32.00;Up
CAL;CISCO;ACCESO;Bundle-Ether35.00;Up
CAL;CISCO;ACCESO;Bundle-Ether36.00;Up
CAL;CISCO;ACCESO;Bundle-Ether37.00;Up
CAL;CISCO;ACCESO;Bundle-Ether38.00;Up
CAL;CISCO;ACCESO;Bundle-Ether39.00;Up
CAL;CISCO;ACCESO;Bundle-Ether40.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.006;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.0;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.06;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.02;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.026;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.03;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.036;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/34.04;Up
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/36.00;Shutdown
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/38.00;Shutdown
CAL;CISCO;ACCESO;GigabitEthernet0/0/0/39.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/8.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/9.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/0.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/7.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/9.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/22.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/29.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/3.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/32.00;Up
CAL;CISCO;ACCESO;GigabitEthernet0/7/0/35.00;Up
